timestamp,device_id,motor_temp,vibration_rms,current,alerta
2025-11-12 09:00:00,motor_04,76.19,2.49,23.01,0
2025-11-12 09:00:10,motor_02,66.19,1.708,28.84,0
2025-11-12 09:00:20,motor_04,54.04,1.919,27.16,0
2025-11-12 09:00:30,motor_03,58.66,1.939,19.08,0
2025-11-12 09:00:40,motor_01,79.14,2.882,28.05,0
2025-11-12 09:00:50,motor_05,68.2,2.623,28.05,0
2025-11-12 09:01:00,motor_04,64.97,2.806,20.48,0
2025-11-12 09:01:10,motor_04,78.72,1.58,16.44,0
2025-11-12 09:01:20,motor_01,77.56,1.758,23.78,0
2025-11-12 09:01:30,motor_02,70.65,2.832,27.37,0
2025-11-12 09:01:40,motor_02,68.96,1.111,28.77,0
2025-11-12 09:01:50,motor_05,82.84,3.58,30.8,1
2025-11-12 09:02:00,motor_03,72.15,1.588,29.26,0
2025-11-12 09:02:10,motor_04,78.6,2.922,17.32,0
2025-11-12 09:02:20,motor_02,72.37,2.056,22.9,0
2025-11-12 09:02:30,motor_01,74.17,3.024,22.75,0
2025-11-12 09:02:40,motor_03,77.53,4.104,27.46,0
2025-11-12 09:02:50,motor_01,63.57,1.363,27.89,0
2025-11-12 09:03:00,motor_04,77.16,6.467,26.86,1
2025-11-12 09:03:10,motor_03,67.62,1.596,19.95,0
2025-11-12 09:03:20,motor_04,55.29,2.713,26.59,0
2025-11-12 09:03:30,motor_02,57.46,2.397,25.53,0
2025-11-12 09:03:40,motor_05,63.14,2.565,18.99,0
2025-11-12 09:03:50,motor_04,72.26,2.044,17.8,0
2025-11-12 09:04:00,motor_04,71.15,2.89,27.11,0
2025-11-12 09:04:10,motor_01,71.03,1.776,23.46,0
2025-11-12 09:04:20,motor_02,81.13,3.121,20.14,0
2025-11-12 09:04:30,motor_01,68.36,2.936,34.62,1
2025-11-12 09:04:40,motor_01,70.0,1.799,25.09,0
2025-11-12 09:04:50,motor_03,71.79,3.297,23.75,0
2025-11-12 09:05:00,motor_03,64.88,2.466,19.34,0
2025-11-12 09:05:10,motor_05,81.34,4.283,37.8,1
2025-11-12 09:05:20,motor_02,60.85,3.111,27.01,0
2025-11-12 09:05:30,motor_02,78.31,2.101,22.99,0
2025-11-12 09:05:40,motor_02,65.78,2.458,23.11,0
2025-11-12 09:05:50,motor_01,89.9,3.633,31.42,1
2025-11-12 09:06:00,motor_01,69.3,3.263,20.61,0
2025-11-12 09:06:10,motor_02,76.31,2.719,24.97,0
2025-11-12 09:06:20,motor_01,72.95,4.437,20.01,1
2025-11-12 09:06:30,motor_03,69.78,2.4,23.79,0
2025-11-12 09:06:40,motor_02,65.97,2.475,20.49,0
2025-11-12 09:06:50,motor_04,70.21,3.152,20.65,0
2025-11-12 09:07:00,motor_03,72.65,2.502,28.94,0
2025-11-12 09:07:10,motor_02,65.32,2.303,24.18,0
2025-11-12 09:07:20,motor_04,69.34,2.218,24.62,0
2025-11-12 09:07:30,motor_04,65.43,2.223,17.97,0
2025-11-12 09:07:40,motor_02,83.53,1.799,22.21,0
2025-11-12 09:07:50,motor_01,78.39,2.849,31.87,1
2025-11-12 09:08:00,motor_03,79.36,3.249,24.58,0
2025-11-12 09:08:10,motor_01,67.86,2.397,17.54,0
2025-11-12 09:08:20,motor_01,71.65,2.852,24.62,0
2025-11-12 09:08:30,motor_01,62.24,1.261,25.1,0
2025-11-12 09:08:40,motor_04,67.9,2.784,27.85,0
2025-11-12 09:08:50,motor_03,70.97,2.419,22.03,0
2025-11-12 09:09:00,motor_03,78.51,2.259,17.27,0
2025-11-12 09:09:10,motor_04,70.88,2.59,21.01,0
2025-11-12 09:09:20,motor_02,77.81,2.252,20.71,0
2025-11-12 09:09:30,motor_03,74.18,1.438,26.21,0
2025-11-12 09:09:40,motor_01,78.54,2.961,15.85,0
2025-11-12 09:09:50,motor_01,69.44,2.622,22.65,0
2025-11-12 09:10:00,motor_03,84.98,2.343,28.28,0
2025-11-12 09:10:10,motor_02,67.09,2.017,24.02,0
2025-11-12 09:10:20,motor_03,65.8,1.765,26.69,0
2025-11-12 09:10:30,motor_04,62.0,2.612,19.07,0
2025-11-12 09:10:40,motor_03,83.27,3.307,19.19,0
2025-11-12 09:10:50,motor_03,75.56,2.602,28.31,0
2025-11-12 09:11:00,motor_03,68.04,1.809,24.3,0
2025-11-12 09:11:10,motor_02,77.54,2.613,24.31,0
2025-11-12 09:11:20,motor_01,82.64,3.226,29.8,1
2025-11-12 09:11:30,motor_02,81.84,2.932,24.3,0
2025-11-12 09:11:40,motor_01,60.2,2.803,20.56,0
2025-11-12 09:11:50,motor_02,68.94,1.007,27.56,0
2025-11-12 09:12:00,motor_04,68.45,2.773,32.18,0
2025-11-12 09:12:10,motor_01,58.38,1.998,25.45,0
2025-11-12 09:12:20,motor_01,76.08,1.789,22.1,0
2025-11-12 09:12:30,motor_01,67.24,2.406,16.4,0
2025-11-12 09:12:40,motor_01,73.68,2.705,18.95,0
2025-11-12 09:12:50,motor_03,84.86,1.68,28.66,0
2025-11-12 09:13:00,motor_03,67.42,2.852,20.91,0
2025-11-12 09:13:10,motor_04,67.31,2.882,22.89,0
2025-11-12 09:13:20,motor_03,71.01,2.523,25.97,0
2025-11-12 09:13:30,motor_02,76.59,2.066,28.45,0
2025-11-12 09:13:40,motor_04,66.51,2.01,23.4,0
2025-11-12 09:13:50,motor_01,66.03,3.013,22.79,0
2025-11-12 09:14:00,motor_01,76.38,1.744,24.21,0
2025-11-12 09:14:10,motor_01,71.99,3.032,22.12,0
2025-11-12 09:14:20,motor_03,57.47,2.417,22.28,0
2025-11-12 09:14:30,motor_02,62.83,2.452,25.24,0
2025-11-12 09:14:40,motor_01,79.09,1.646,24.56,0
2025-11-12 09:14:50,motor_02,73.37,2.427,30.39,0
2025-11-12 09:15:00,motor_01,65.62,2.807,25.32,0
2025-11-12 09:15:10,motor_03,69.5,1.832,27.45,0
2025-11-12 09:15:20,motor_02,69.6,2.749,20.79,0
2025-11-12 09:15:30,motor_02,74.65,2.545,25.58,0
2025-11-12 09:15:40,motor_02,61.53,2.178,21.83,0
2025-11-12 09:15:50,motor_03,65.13,2.927,25.19,0
2025-11-12 09:16:00,motor_02,71.95,1.399,26.07,0
2025-11-12 09:16:10,motor_01,69.42,2.673,24.15,0
2025-11-12 09:16:20,motor_01,74.51,3.31,31.22,0
2025-11-12 09:16:30,motor_05,63.27,3.22,28.28,0
2025-11-12 09:16:40,motor_05,72.67,2.695,27.53,0
2025-11-12 09:16:50,motor_03,76.89,2.349,26.29,0
2025-11-12 09:17:00,motor_01,73.71,2.182,29.29,0
2025-11-12 09:17:10,motor_05,70.19,2.349,19.69,0
2025-11-12 09:17:20,motor_04,70.04,2.772,28.11,0
2025-11-12 09:17:30,motor_03,64.54,2.096,21.03,0
2025-11-12 09:17:40,motor_02,69.31,2.879,22.31,0
2025-11-12 09:17:50,motor_01,77.81,3.567,25.68,0
2025-11-12 09:18:00,motor_01,69.84,2.469,27.7,0
2025-11-12 09:18:10,motor_05,64.14,1.828,20.54,0
2025-11-12 09:18:20,motor_02,66.82,1.828,22.46,0
2025-11-12 09:18:30,motor_01,71.25,2.888,24.29,0
2025-11-12 09:18:40,motor_02,67.68,2.47,23.44,0
2025-11-12 09:18:50,motor_03,89.17,2.987,35.67,1
2025-11-12 09:19:00,motor_01,83.17,2.489,41.38,1
2025-11-12 09:19:10,motor_04,88.78,3.308,34.03,1
2025-11-12 09:19:20,motor_04,78.21,2.421,21.79,0
2025-11-12 09:19:30,motor_03,75.39,2.134,20.11,0
2025-11-12 09:19:40,motor_02,64.25,2.3,23.02,0
2025-11-12 09:19:50,motor_03,64.16,1.901,21.18,0
2025-11-12 09:20:00,motor_03,69.76,3.495,25.4,0
2025-11-12 09:20:10,motor_03,67.5,2.452,25.36,0
2025-11-12 09:20:20,motor_01,62.96,2.822,22.61,0
2025-11-12 09:20:30,motor_02,68.24,2.232,29.95,0
2025-11-12 09:20:40,motor_01,66.82,1.974,21.79,0
2025-11-12 09:20:50,motor_02,65.92,2.383,23.64,0
2025-11-12 09:21:00,motor_02,68.39,3.051,25.92,0
2025-11-12 09:21:10,motor_01,77.47,2.24,26.68,0
2025-11-12 09:21:20,motor_01,71.77,2.065,27.83,0
2025-11-12 09:21:30,motor_03,85.02,2.578,25.29,0
2025-11-12 09:21:40,motor_01,74.26,5.148,27.15,1
2025-11-12 09:21:50,motor_05,67.96,3.321,22.0,0
2025-11-12 09:22:00,motor_03,70.44,2.677,26.75,0
2025-11-12 09:22:10,motor_02,71.95,2.822,26.71,0
2025-11-12 09:22:20,motor_03,73.29,2.86,28.54,0
2025-11-12 09:22:30,motor_01,81.71,1.923,18.99,0
2025-11-12 09:22:40,motor_05,64.52,2.018,21.28,0
2025-11-12 09:22:50,motor_02,75.52,1.958,26.47,0
2025-11-12 09:23:00,motor_04,70.05,1.834,16.05,0
2025-11-12 09:23:10,motor_01,60.79,2.898,25.48,0
2025-11-12 09:23:20,motor_02,75.1,2.645,27.18,0
2025-11-12 09:23:30,motor_02,77.35,2.54,22.27,0
2025-11-12 09:23:40,motor_05,64.66,1.204,22.71,0
2025-11-12 09:23:50,motor_03,69.46,3.528,20.78,0
2025-11-12 09:24:00,motor_02,59.41,2.053,22.44,0
2025-11-12 09:24:10,motor_01,65.9,5.197,22.52,1
2025-11-12 09:24:20,motor_02,75.98,1.775,21.95,0
2025-11-12 09:24:30,motor_02,79.22,2.554,33.52,1
2025-11-12 09:24:40,motor_02,63.23,1.399,23.19,0
2025-11-12 09:24:50,motor_01,71.25,2.681,23.15,0
2025-11-12 09:25:00,motor_04,67.71,1.949,29.62,0
2025-11-12 09:25:10,motor_04,67.0,1.963,22.82,0
2025-11-12 09:25:20,motor_01,74.59,1.814,25.03,0
